fishid,side,avg.w,avg.fw,avg.r,fw.r,d.me,avg.est,ndays.me,Avg.day,Avg.day.early,Avg.day.late,Avg.day.fresh,Sr.edge,Ba.edge,Sr.me,Ba.me,Sr.core,Ba.core
762,L,573.4073333,538.287,257.9966667,252.258,20.06561404,20.25833333,5.255193583,3.854916667,NA,NA,,0.866786236,1.740846811,0.831108491,0.847075921,1.296748802,0.133226583
767,L,633.565,583.456,297.4633333,252.657,41.46689076,45.30166667,13.60228865,3.330444444,NA,NA,NA,1.547179126,1.079821157,0.939857002,0.650081521,1.329910808,0.676858167
933,L,680.8266667,632.9756667,341.33,332.2893333,34.36608392,23.806,11.71747334,2.031666667,NA,NA,NA,1.052607824,1.473080348,0.744544219,1.161537352,1.674109564,0.160659878
5225,L*,1019.806667,623.203,467.4733333,355.7223333,144.5369854,155.4673333,41.50194052,3.746025641,NA,NA,NA,1.911961196,0.49657181,0.61166749,1.760546251,1.154952636,0.585875938
5235,L,858.37,432.2483333,406.7166667,219.7968333,162.3325,162.1076667,45.00308747,3.602145448,NA,NA,NA,3.415686658,0.387057516,1.19383223,0.528090914,1.369933919,0.798192125
5236,L,1002.31,450.2426667,442.8666667,286.981,189.7272277,186.0166667,55.64258381,3.343063063,3.097814815,3.016833333,NA,2.494011584,0.289508807,0.918701929,0.783599948,2.187548904,0.277689143
5238,L,1056.87,377.9003333,448.9166667,223.984,250.5541,283.093,68.74749061,4.117866667,NA,NA,NA,2.731863216,0.426967122,1.083254092,0.349993384,1.239572929,0.479790806
5239,L,1004.893333,859.6776667,437.9566667,388.391,53.91395122,52.487,14.58077228,3.599740741,NA,NA,2.935566667,1.371077437,0.819350783,0.966386607,1.319862482,1.526595811,0.366993272
5977,L,948.9966667,483.7633333,424,265.5205,166.5446809,169.396,46.84849426,3.615825923,3.127861111,4.159875,NA,2.576344841,0.111703121,1.019674521,0.567854599,1.443119037,0.912011112
7529,L,1030.97,522.3493333,462.2466667,289.4186667,173.3411269,178.0526667,65.0522938,2.737069767,2.207212121,3.484309524,NA,1.596350377,0.48015561,0.929222289,0.545309684,1.498007875,0.276011043
7530,L,787.3066667,681.8516667,368.86,325.348,31.29536842,33.67933333,15.59188292,2.160055556,NA,NA,1.716,0.706350736,1.014885966,0.667013735,1.286300473,1.41910517,0.390997404
7532,L,807.7166667,595.414,364.4,282.4733333,86.11775,86.59966667,34.96685979,2.476621212,2.660878788,2.454444444,1.682033333,1.842206631,0.40296299,0.992916212,1.540933975,1.422535722,0.533417059
7565,L,694.7933333,549.478,331.3933333,255.9086667,59.50444444,51.17233333,23.30656601,2.19561875,NA,NA,1.8968,2.47342827,0.87407145,0.960783371,0.690793697,1.702697501,0.172187698
9639,L,1037.42,795.817,456.89,338.7646667,125.3358788,136.204,31.79947263,4.283215686,3.580222222,3.157541667,3.54962963,1.498007875,0.585000408,1.249864586,0.392967348,1.387086681,0.355173608
9640,L,945.1066667,474.3033333,417.3766667,239.9243333,185.3376585,185.3356667,54.63948803,3.391972973,3.369966667,3.657133333,NA,1.384799646,0.330002101,1.08050965,0.471619186,1.374507989,0.246170039
9882,L,893.9966667,643.4133333,373.84,291.7913333,92.87459006,111.9898333,40.12234845,2.791208333,2.479266667,2.760033333,2.418066667,1.684401221,0.86750497,0.67387484,0.960894908,1.421392205,0.572670018
10120,L,979.1933333,670.797,442.16,345.841,123.7984146,114.6613333,34.76115751,3.298547619,2.193,4.262333333,2.207733333,1.546035608,0.52115963,0.676962337,1.355613317,1.659243837,0.329856179
10122,L,825.223,578.714,367.8566667,259.4986667,121.337381,119.794,38.32561186,3.125690476,NA,3.8186,NA,1.680970669,0.484314381,0.819101558,0.917118374,1.332197843,0.419233268
10332,L,920.9766667,591.046,441.6333333,306.3041111,144.9868047,138.3183333,38.9413133,3.551968889,3.388233333,4.216333333,NA,1.656956802,0.413104553,0.574045766,1.183425619,1.603211481,0.627609567
10471,L,1230.263333,780.0403333,536.5,367.6193333,161.5821429,175.2213333,43.67078572,4.01232381,3.485566667,4.4679,2.210333333,1.724424332,0.248358866,1.392804268,0.253903894,1.631799418,0.206479316
4973,L,956.7333333,773.297,432.3866667,354.12,50.41292135,47.74166667,22.13316304,2.157019608,NA,NA,2.797095238,0.775425886,1.709841172,0.753588428,1.873266215,0.826815831,0.522321344
4985,L,901.57,547.6393333,412.06,249.663,141.2996319,157.116,42.38346718,3.707011494,3.640727273,3.629066667,NA,1.843761381,0.293792448,1.167584778,0.43800041,1.353399312,0.208300389
9585,L,1000.993333,667.243,442.8,308.4246667,149.8796087,167.7416667,52.4729541,3.19672619,NA,NA,NA,1.366475634,1.083289784,0.71749778,0.868228814,1.13149413,0.328287376
10354,L,907.7533333,635.809,420.2533333,311.326,98.00534759,102.2826667,25.8851988,3.951395833,NA,NA,NA,1.060155039,1.085658028,0.696859541,1.289948517,0.903950554,1.164455788
10448,L,1074.696667,453.0286667,476.7233333,175.378,198.3121076,206.2771667,59.3981475,3.472787879,3.056166667,3.750153846,NA,2.060618466,0.467971142,0.700290094,1.065958588,1.411100548,0.547790354
10449,L,1048.61,345.7183333,496.1566667,154.9443333,246.4813472,245.2063333,75.67376561,3.240308333,2.400014286,3.573502273,NA,1.65352625,0.493945218,0.872046416,0.447833937,1.373364472,0.647746772
10462,L,1143.223333,518.3833333,508.72,229.7573333,282.1573583,303.3716667,74.71329871,4.060477477,2.657538462,5.393466667,NA,1.905100091,0.52115963,1.323049703,1.079821157,1.252151621,0.581352363
10463,L,1024.733333,520.0953333,467.0566667,294.746,165.088,176.0907778,43.63028161,4.03597619,3.495407407,4.223166667,NA,2.217280358,0.448052819,0.738254873,1.040422277,1.805614072,0.506640413
10464,L,1004.02,384.327,457.4033333,200.2703333,260.0966834,203.6936667,54.46690801,3.739769231,3.1735,4.076566667,NA,2.502016206,0.413250475,0.982510203,0.895230108,1.430540345,0.476653488
10457,L,1115.406667,755.82,511.9633333,369.3506667,167.8144292,157.6556667,40.75755748,3.868133333,3.187428571,3.941766667,3.44685,1.584915202,1.783164127,0.609494807,1.486942917,1.353924675,0.368306568
10466,L,961.2966667,548.8523333,430.32,251.7083333,179.6608421,199.1696667,52.82761573,3.770180879,2.644033333,4.071706667,2.608083333,1.99283145,0.337816067,1.399166438,0.457909519,1.998061979,0.121211343
10467,L,1116.15,544.732,467.9,242.567,249.7217195,245.843,62.66498644,3.923131783,3.3959,4.362433333,NA,2.305355543,0.273404242,0.919788479,1.550142432,1.485470163,0.501933139
10469,L,1054.886667,817.8403333,493.9733333,404.2486667,101.9705882,101.3696667,29.25,3.46562963,3.199266667,4.091166667,3.108231111,1.455394622,0.463498975,0.980724139,0.812334255,1.373013795,0.429696075
10473,R,986.8366667,386.718,464.38,187.8186667,280.9225532,280.3136667,58.54522843,4.787984848,NA,4.878133333,NA,1.833058491,0.46454198,1.138600337,0.725231236,1.27502197,0.344302435
10491,R,1089.473333,864.2763333,502.4133333,401.138,92.21178082,88.70233333,25.73054386,3.447355556,NA,NA,NA,1.718228692,0.35431827,1.431857243,0.268666513,1.503777013,0.367360334
10494,L,983.5266667,850.9763333,464.7766667,395.9443333,73.28731844,75.847,23.82877788,3.183,3.006386364,3.393925926,3.071564103,1.016814787,4.105322266,0.724166704,2.054790449,0.753326902,1.548545445
11743,L,1092.196667,778.759,482.6933333,337.5805,151.7104072,150.8443333,40.58566484,3.716689967,2.896,4.1459,2.466666667,2.253050255,0.387322676,0.642570456,1.430900707,1.628002071,0.375771134
11772,R,1180.976667,624.989,548.0133333,357.3523333,181.6302123,143.9066667,46.33493876,3.105791667,3.041933333,3.023625,2.9300625,2.565574348,0.223525003,1.089388374,0.80967261,1.391320645,0.176999436
11773,R,1143.566667,581.9166667,524.9766667,290.2176667,437.6078079,274.4573333,76.80900875,3.573244048,2.867903226,3.889818182,NA,1.982370393,0.224057332,1.80714768,0.353519777,1.055259174,0.335633518
7550,L,927.85,560.0873333,417.7366667,264.488,143.9604372,150.4596667,49.14543739,3.061518519,2.418233333,3.478833333,NA,1.198183371,0.712256379,0.748750189,0.857582232,1.268795509,0.446145046
9883,L,995.81,456.8926667,453.0866667,237.8643333,216.132,210.599,54.27995807,3.879866667,3.584272727,4.943444444,NA,1.512873602,0.526485775,0.970045863,0.977675912,1.358498745,0.613455154
9884,R,976.1466667,771.2653333,434.34,273.3396667,117.1821053,121.0453333,31.82565256,3.803388889,3.1546,4.205190476,2.681555556,1.39393591,0.228741828,1.257157583,0.194725996,1.901297198,0.339572753
10119,L,1020.88,714.146,441.8633333,369.5303333,76.12548128,94.774,23.26297344,4.074027778,NA,NA,3.217,1.120248493,0.769747925,0.747181031,0.884731017,1.546928875,0.563204222
10297,L,1013.713333,664.8796667,452.6266667,324.7756667,128.5859223,133.1333333,41.06290623,3.24218,2.35775,3.617666667,2.4754,1.086903872,0.472388872,0.712921067,1.486262936,1.144439689,0.215273901
10319,R,1000.243333,688.2086667,475.3266667,286.0533333,156.0578125,170.2406667,54.75207073,3.109300971,2.215333333,4.471866667,1.592333333,1.498546484,1.044429757,0.805109137,0.393976791,1.444933565,0.418197766
10321,R,925.78,555.7856667,416.2623333,266.135,144.1690608,150.7963333,39.96422214,3.773283333,3.259166667,3.98852,NA,1.635847864,0.769215596,1.157385247,0.575980121,1.967986439,0.250301158
10470,L,997.28,713.4466667,437.7723333,327.7853333,127.7394819,106.9876667,26.29394373,4.068909091,4.13275,3.875708333,2.26225,0.930118773,0.74845476,0.692260479,0.771344912,1.469778576,0.537652423
10479,L,992.9543543,789.5510996,454.5373333,371.1123333,81.74966892,86.179,25.95369518,3.320490566,NA,NA,2.812791667,1.452267176,0.656866883,0.667128087,0.658690906,1.231568306,0.786518383
5223,R,1037.6,457.9056667,480.9613333,220.0493333,280.6627202,263.8653333,89.15272944,2.9597,NA,3.177266667,NA,1.80714768,0.660088124,1.199098714,0.50049585,1.401781703,0.423254893
7533,R,744.4866667,466.3583333,345.6516667,236.6306667,135.6992727,129.1253333,35.99361609,3.58745098,NA,NA,NA,2.073904646,0.290012911,1.25624224,0.407231786,1.404396967,0.365710114
7542,L,967.98,765.6813333,439.6666667,336.0773333,103.0622629,115.3353333,32.65344968,3.532102564,NA,NA,NA,1.763303926,0.489348682,0.879364928,1.322051308,1.164100776,0.595287893
7543,L,917.55,548.209,408.5633333,260.33,133.7031461,168.5663333,51.67454272,3.262076923,NA,NA,NA,1.329910808,0.807677041,0.648031346,1.991832269,1.162957259,0.52612097
7544,L,975.73,468.612,431.62,226.0843333,200.8089474,212.221,55.7300336,3.808018519,NA,NA,NA,1.905100091,1.413387583,0.917847983,1.063814295,1.374507989,0.481687789
7546,L,932.44,713.8516667,419.6933333,340.6326667,88.41365896,106.9716667,26.34747345,4.060035088,NA,NA,3.171941667,1.320762668,0.392164778,1.239572929,0.672407553,1.42367924,0.495331475
7549,R,953.7433333,663.9103333,438.39,332.1846667,103.1219665,116.29,34.53401305,3.367404762,NA,NA,2.874363636,1.831914974,0.995186526,1.143517462,1.072525068,1.34706357,0.704875148
7559,L,868.9733333,592.1363333,363.6833333,271.1353333,103.8443931,129.7773333,34.38721074,3.774,2.2902,3.926666667,2.2929,1.628368866,0.384722768,0.959182447,0.858749663,1.363072814,0.256603447
10374,R,1095.47,528.1996667,464.7,246.4273333,229.126,236.57,66.12347136,3.577700855,2.366833333,4.046566667,NA,2.716997489,0.265285792,1.050206437,0.444258853,1.368790402,0.598206329
12578,L,1164.236667,471.5836667,527.41,247.358,277.8609818,290.9813333,83.72471313,3.475453333,2.272433333,4.5388,NA,2.249298847,0.347804558,0.787083069,1.934922776,1.129909604,0.514884993
13884,L,1110.526667,837.283,620.4166667,396.24,113.8391038,133.9416667,35.32061706,3.792166667,3.628033333,4.574,3.173866667,0.881880667,1.961188696,0.607550827,1.684666926,1.063814295,0.548884768
19343,L,1380.613333,470.3246667,607.9333333,290.965,304.085,303.468,69.72624807,4.352277778,3.6263,4.900043478,,2.672400308,0.169488145,0.814870543,0.538232478,1.209841475,0.634030125
4990,L,1061.826667,611.9073333,468.0966667,291.362,171.2194737,168.3373333,46.53034115,3.617797101,NA,NA,NA,2.274456231,0.199620992,0.749918751,1.146215566,1.210984992,0.521013708
4991,L,984.1633333,736.8046667,444.4266667,314.145,87.09918182,111.3416667,31.00405453,3.59119697,3.611592593,3.729666667,2.303,0.950034307,0.684664982,0.663468831,0.606815714,1.213272027,0.441194496
4992,L,895.7733333,690.7606667,380.9633333,289.5926667,83.7097191,100.621,39.69676203,2.534740741,2.588333333,2.668166667,2.420566667,1.190401678,0.735445761,0.54946014,0.846346312,1.387086681,0.598644094
4993,L,1001.91,681.8153333,437.9266667,307.3866667,128.3529,136.524,45.59756665,2.994107143,NA,NA,NA,1.143517462,0.664308894,0.636367467,0.890852454,1.379082059,0.52612097
5224,L,913.71,578.7083333,419.9966667,264.2613333,176.3488686,191.8076667,47.18546739,4.064973333,3.515933333,4.630233333,NA,3.102362874,0.214942779,1.372220954,0.496936615,1.619220726,0.648111577
5249,L,1057.476667,599.0926667,479.1533333,314.9003333,194.7986473,198.0496667,49.33767905,4.014166667,3.23096875,4.188863636,NA,2.507733794,0.396031705,0.833738581,0.852183183,1.273878452,0.523129574
5250,R,972.0796667,534.281,434.8166667,231.7353333,227.2405685,212.8526667,56.19981201,3.787426667,2.976366667,4.208811111,NA,2.121224892,0.246097079,0.930365807,0.557713035,2.327058035,0.449584998
5279,L,1015.67,681.459,442.6066667,329.7746667,111.3218842,117.8993333,32.26530798,3.654058824,3.809366667,2.7851,NA,1.958845412,0.3906326,0.73871228,0.606159066,1.259012725,0.597695602
7534,L,902.9266667,610.9103333,399.8033333,278.5283333,124.2914063,95.668,41.421285,2.309633803,NA,NA,NA,1.403095926,0.642712471,1.058554114,0.61885426,1.628368866,0.284255623
7535,L,842.9566667,734.4933333,373.88,346.0826667,56.1053012,59.76233333,16.89076264,3.538166667,NA,NA,3.266666667,1.272734935,0.779222294,0.862097814,0.984242392,1.502581945,0.794544081
10468,L,1026.103333,727.4286667,466.5266667,352.083,93.20966667,100.729,29.41557926,3.42434188,2.429033333,3.891952381,NA,1.476281043,0.855101619,0.660610038,3.076031079,0.873990396,0.534730355
7445,L,891.4066667,618.2073333,425.6433333,307.8053333,121.5354126,129.8366667,30.95794106,4.193969697,3.46655,4.2667,NA,2.01426386,0.378713601,0.746167613,1.130089485,1.275104903,0.454027898
7458,L,859.25,655.6376667,396.5133333,309.5793333,78.99130194,73.603,23.53915037,3.126833333,2.7991,3.363866667,2.381433333,1.749733024,0.488967867,0.942430338,1.036733023,1.365393955,0.95877134
7516,R,698.92,504.108,314.3,241.1423333,79.13728658,78.873,21.58932482,3.653333333,3.106133333,3.73462963,1.82502381,1.459961857,0.567781967,0.897696151,0.647143243,1.595171455,0.190659856
7518,L,861.8866667,772.0533333,430.36,379.6693333,38.88074742,41.32433333,14.77311185,2.797266667,NA,NA,2.478880952,0.857795085,2.053691937,0.657285924,4.533194989,1.357823906,0.209059634
7536,L,1030.126667,570.155,465.74,260.312,226.2192934,221.9756667,68.10602958,3.25937963,2.56047619,3.736666667,NA,1.565603548,0.435802448,0.942115723,0.462527272,1.427156811,0.362804679
7547,L,895.4866667,540.2406667,419.6933333,250.713,158.464673,159.3443333,49.86262647,3.195666667,2.6165,4.814,2.418866667,1.701795667,0.466603092,0.977821827,1.089936158,1.291479988,1.36493917
7548,L,879.6766667,538.0956667,394.7933333,262.2063333,137.4634077,147.745,41.06492236,3.597839506,2.590666667,4.083966667,NA,1.188209721,0.787553428,0.975342176,0.975808046,1.475724344,0.293321024
7569,L,610.75,494.0306667,271.98,247.216,30.74506396,33.365,22.21788721,1.501717949,NA,NA,NA,1.949191802,0.588065409,1.042801001,0.681379501,1.37453429,0.192088128
7570,R,939.83,425.9706667,416.7233333,207.3543333,189.6318981,252.6623333,66.62840986,3.792111111,3.000366667,5.081333333,NA,1.436599578,0.778545177,1.020518965,0.543207906,1.520491912,0.279953895
10121,L,826.86,562.1576667,381.91,272.838,97.50034685,112.9873333,27.38501093,4.125882353,NA,NA,2.84647619,1.658151843,0.521631855,0.736483472,1.000819686,1.526656181,0.184917336
10320,R,1058.5,653.7423333,467.8166667,323.715,152.6536946,162.186,37.03896453,4.378794118,4.029747126,4.3237,2.8508,1.131651139,1.080740102,0.71505614,2.796015272,1.340757561,0.253795062
11406,L,1288.78,965.4326667,560.4,424.3846667,157.7735452,150.339,30.96068882,4.855802817,3.618974359,4.739740741,3.010666667,1.85115922,0.807616877,1.076996027,1.641184951,1.3718031,0.593750347
22452,USE ME (AVG btwn L and R),1588.477333,869.4121667,697.2278333,409.5201667,258.7347444,300.043,66.71631353,4.498283013,4.031959091,4.696328571,NA,1.612397933,0.059594059,1.696555417,0.334205908,1.655503954,0.50837463
5256,L,939.8266667,605.2855,425.6766667,281.8195,147.3293426,148.3926667,35.70532826,4.156037037,,,,1.604452647,0.548083563,0.879654086,0.746457371,1.617166327,0.305755621
7444,R,571.2966667,493.026,285.9333333,243.0846667,29.47547423,29.64233333,17.48216392,1.695575758,NA,NA,2.001909091,0.888909392,1.169537555,0.761144128,1.776426308,1.25116441,0.504225431
11793,L,832.8066667,636.50325,394.1333333,310.7105,85.42944142,91.63866667,27.23030256,3.365319444,3.101,3.694,2.833214286,0.730588801,1.188973241,0.711721527,1.169184726,1.655938493,0.597441186
13793,L,1193.946667,543.8786667,512.6666667,264.5596667,230.3717245,295.1943333,75.1457617,3.928289855,NA,4.7947,NA,2.593450394,0.245477258,0.732248104,1.208558668,0.788967399,0.512090778
13898,R,974.0566667,739.103,450.1566667,329.3296667,122.8062331,143.937,34.16789423,4.212638889,3.945916667,4.787166667,NA,0.684564624,1.250947187,0.598750032,3.164883405,0.941134868,0.599285293
18656,R,1495.486667,1129.148333,600.3133333,489.568,57.90736879,84.22266667,31.76045108,2.651809524,NA,NA,NA,1.204892858,0.439169671,0.75145183,0.421388294,0.812446367,0.157779537
20233,L,925.7933333,597.12,419.32,260.966,168.882036,176.5803333,48.62474456,3.631491228,NA,NA,NA,0.796484444,1.289204896,0.491203617,0.622545545,0.541177141,0.74781562